ID,LAT,LON,Altitude,Date,Time
1,39.984702,116.318417,492,10/23/2008,2:53:04
2,39.984683,116.31845,492,10/23/2008,2:53:10
3,39.984686,116.318417,492,10/23/2008,2:53:15
4,39.984688,116.318385,492,10/23/2008,2:53:20
5,39.984655,116.318263,492,10/23/2008,2:53:32
6,39.984611,116.318026,493,10/23/2008,2:53:34
7,39.984608,116.317761,493,10/23/2008,2:53:35
8,39.984563,116.317517,496,10/23/2008,2:53:40
9,39.984539,116.317294,500,10/23/2008,2:53:51
10,39.984606,116.317065,505,10/23/2008,2:53:57
11,39.984568,116.316911,510,10/23/2008,2:53:58
12,39.984586,116.316716,515,10/23/2008,2:54:00
13,39.984561,116.316527,520,10/23/2008,2:54:05
14,39.984536,116.316354,525,10/23/2008,2:54:16
15,39.984523,116.316188,531,10/23/2008,2:54:19
16,39.984516,116.315963,536,10/23/2008,2:54:20
17,39.984523,116.315823,541,10/23/2008,2:54:32
18,39.984574,116.315611,546,10/23/2008,2:54:36
19,39.984568,116.315407,551,10/23/2008,2:54:37
20,39.984538,116.315148,556,10/23/2008,2:54:38
21,39.984501,116.314907,560,10/23/2008,2:54:49
22,39.984532,116.314808,564,10/23/2008,2:54:53
23,39.984504,116.314625,569,10/23/2008,2:54:55
24,39.984485,116.314426,574,10/23/2008,2:55:00
25,39.984427,116.31424,579,10/23/2008,2:55:05
26,39.984485,116.314042,584,10/23/2008,2:55:10
27,39.98448,116.313818,589,10/23/2008,2:55:15
28,39.984501,116.313659,595,10/23/2008,2:55:20
29,39.984618,116.314323,113,10/23/2008,2:55:32
30,39.984649,116.314107,117,10/23/2008,2:55:34
31,39.984621,116.313941,121,10/23/2008,2:55:35
32,39.984655,116.313724,126,10/23/2008,2:55:40
33,39.984681,116.313521,129,10/23/2008,2:55:51
34,39.984708,116.313311,133,10/23/2008,2:55:53
35,39.984708,116.313099,137,10/23/2008,2:55:55
36,39.984696,116.312921,144,10/23/2008,2:56:00
37,39.984677,116.312746,153,10/23/2008,2:56:05
38,39.984682,116.312525,155,10/23/2008,2:56:10
39,39.984649,116.312332,158,10/23/2008,2:56:15
40,39.984641,116.312123,164,10/23/2008,2:56:20
41,39.984647,116.311917,170,10/23/2008,2:56:32
